NAME,MSINI-mjupiter,A-au,PER-day,ECC,OM-deg,T0-jd,K-m/s,ORBREF,ORBURL,FIRSTREF,FIRSTURL,OTHERNAME,COMP,HD,HIPP,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA-hr,DEC-deg,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,IMAGING,MICROLENSING,TIMING,ASTROMETRY,BMV,V,VURL,VREF,J,H,PAR-marcsec,DIST-pc,VSINI-km/s,KS,GAMMA-km/s,DVDT-m/s/day,I-deg,MASS-mjupiter,SEP-au,TREND,LAMBDA-deg,BIGOM-deg,DEPTH,T14-day,TT,R-rjupiter,AR,DENSITY-\g/cm^3,GRAVITY,B,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH80,SEDEPTH58,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,STAR,MSTAR-msun,RSTAR-rsun,TEFF-k,RHOSTAR-g/cm^3,LOGG,FE,SHK,RHK,JSNAME,EPEURL,KP,SIMBADNAME,SIMBADURL,ETDNAME,ETDURL,EANAME,EAURL
KOI 2490.01,,0.0885,11.60653061,0,,,,,,,,KIC 3122913,1,,,,,,,,,,,,,3122913,2490.01,1,0,,,,,,,,,14.175,13.66,,,,13.585,,,89.97,0.014147424,,,,,771.7,0.091416667,14967.41637,0.167722654,,,,0.024,1,,,41.39,0.024534,,,,,,,,,,,,,,,,,,,,KOI 2490,0.686,0.701,4703,,4.582,-0.14,,,,,15.701,,,,,K02490.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02490.01
KOI 2417.01,,0.2253,47.7052566,0,,,,,,,,KIC 9654468,1,,,,,,,,,,,,,9654468,2417.01,1,0,,,,,,,,,14.117,13.529,,,,13.434,,,88.24,0.026048606,,,,,1161.5,0.248291667,14979.3164,0.257828974,,,,0.918,1,,,29.8,0.039415,,,,,,,,,,,,,,,,,,,,KOI 2417,0.669,0.672,4551,,4.609,-0.14,,,,,16.22,,,,,K02417.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02417.01
KOI 2569.01,,0.0795,8.28157072,0,,,,,,,,KIC 8247770,1,,,,,,,,,,,,,8247770,2569.01,1,0,,,,,,,,,13.002,12.643,,,,12.572,,,89.88,0.009364182,,,,,139.2,0.129166667,14969.25775,0.122223424,,,,0.042,1,,,20.61,0.010655,,,,,,,,,,,,,,,,,,,,KOI 2569,0.976,1.175,5640,,4.288,0.16,,,,,14.273,,,,,K02569.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02569.01
KOI 2571.01,,0.0166,0.82628442,0,,,,,,,,KIC 6867588,1,,,,,,,,,,,,,6867588,2571.01,1,0,,,,,,,,,13.061,12.556,,,,12.532,,,87.5,0.002719077,,,,,134.9,0.0400125,14965.26993,0.085645611,,,,0.28,1,,,6.414,0.010598,,,,,,,,,,,,,,,,,,,,KOI 2571,0.886,0.829,5218,,4.548,0.16,,,,,14.434,,,,,K02571.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02571.01
KOI 2572.01,,0.0691,6.37705295,0,,,,,,,,KIC 7501646,1,,,,,,,,,,,,,7501646,2572.01,1,0,,,,,,,,,14.273,13.93,,,,13.876,,,89.46,0.016474694,,,,,502.8,0.081208333,14969.91384,0.191810482,,,,0.234,1,,,24.83,0.02038,,,,,,,,,,,,,,,,,,,,KOI 2572,1.08,0.965,5672,,4.503,0.36,,,,,15.522,,,,,K02572.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02572.01
KOI 2421.01,,0.0275,2.27050106,0,,,,,,,,KIC 8838950,1,,,,,,,,,,,,,8838950,2421.01,1,0,,,,,,,,,12.855,12.332,,,,12.264,,,86.68,0.000386299,,,,,106.7,0.079291667,14966.54216,0.049067798,,,,0.473,1,,,8.16,0.009599,,,,,,,,,,,,,,,,,,,,KOI 2421,0.534,0.528,4671,,4.721,-1.3,,,,,14.363,,,,,K02421.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02421.01
KOI 2577.01,,0.1919,18.55581565,0,,,,,,,,KIC 12257999,1,,,,,,,,,,,,,12257999,2577.01,1,0,,,,,,,,,12.594,12.388,,,,12.367,,,89.84,1,,,,,565.9,0.223833333,14965.07105,1.858331324,,,,0.073,1,,,26.895,0.021575,,,,,,,,,,,,,,,,,,,,KOI 2577,2.734,8.841,5988,,2.982,0.56,,,,,13.506,,,,,K02577.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02577.01
KOI 2578.01,,0.1092,13.33094869,0,,,,,,,,KIC 6922203,1,,,,,,,,,,,,,6922203,2578.01,1,0,,,,,,,,,13.595,13.287,,,,13.247,,,86.44,1,,,,,725.6,0.059416667,14966.78632,2.315107914,,,,1.199,1,,,19.3,0.228694,,,,,,,,,,,,,,,,,,,,KOI 2578,0.976,1.039,5991,,4.394,-0.18,,,,,14.847,,,,,K02578.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02578.01
KOI 2503.01,,0.1089,14.8200596,0,,,,,,,,KIC 8631504,1,,,,,,,,,,,,,8631504,2503.01,1,0,,,,,,,,,12.554,12.039,,,,11.942,,,89.88,0.002719077,,,,,184.9,0.162583333,14966.39933,0.085645611,,,,0.059,1,,,29.32,0.011998,,,,,,,,,,,,,,,,,,,,KOI 2503,0.785,0.732,4825,,4.603,0.08,,,,,14.146,,,,,K02503.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02503.01
KOI 2504.01,,0.1485,20.49041,0,,,,,,,,KIC 8110767,1,,,,,,,,,,,,,8110767,2504.01,1,0,,,,,,,,,14.598,14.185,,,,14.059,,,89.98,0.018425248,,,,,661.8,0.182041667,14977.41979,0.208761176,,,,0.011,1,,,36.66,0.023227,,,,,,,,,,,,,,,,,,,,KOI 2504,1.038,0.923,5681,,4.524,0.21,,,,,15.93,,,,,K02504.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02504.01
KOI 2507.01,,0.0989,11.1296971,0,,,,,,,,KIC 8379705,1,,,,,,,,,,,,,8379705,2507.01,1,0,,,,,,,,,14.682,14.359,,,,14.192,,,88.66,0.01454473,,,,,371,0.122583333,14971.57573,0.172183363,,,,0.572,1,,,24.37,0.018314,,,,,,,,,,,,,,,,,,,,KOI 2507,1.041,0.964,6122,,4.487,-0.18,,,,,15.859,,,,,K02507.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02507.01
KOI 2579.01,,0.0394,2.7296036,0,,,,,,,,KIC 9896018,1,,,,,,,,,,,,,9896018,2579.01,1,0,,,,,,,,,13.994,13.71,,,,13.714,,,85.66,0.011684873,,,,,145.6,0.113375,14966.28661,0.136497692,,,,0.509,1,,,6.73,0.011314,,,,,,,,,,,,,,,,,,,,KOI 2579,1.09,1.235,5887,,4.292,0.16,,,,,15.147,,,,,K02579.01,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02579.01
